"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)",Quantidade,"Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)",Extras,"Card #",Comentario
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring Surge Foil)",rsltr,"Merry, Escudeiro de Rohan","Merry, Esquire of Rohan",1,NM,PTEN,R,M,,817,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring Surge Foil)",rsltr,"Peregrin Tuk","Peregrin Took",1,NM,PTEN,U,G,,807,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring Surge Foil)",rsltr,"Pippin, Guarda da Cidadela","Pippin, Guard of the Citadel",1,NM,PTEN,R,M,,818,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring Surge Foil)",rsltr,"Rei-bruxo de Angmar","Witch-King of Angmar",1,NM,PTEN,M,B,,803,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring Surge Foil)",rsltr,"Samwise Gamgi","Samwise Gamgee",1,NM,PTEN,R,M,,819,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring Surge Foil)",rsltr,"Samwise, o Destemido","Samwise the Stouthearted",1,NM,PTEN,U,W,,798,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring Surge Foil)",rsltr,"Saruman das Muitas Cores","Saruman of Many Colors",1,NM,PTEN,M,M,,820,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring Surge Foil)",rsltr,"Sauron, o Necromante","Sauron, the Necromancer",1,NM,PTEN,R,B,,802,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring Surge Foil)",rsltr,"Sauron, o Senhor Sombrio","Sauron, the Dark Lord",1,NM,PTEN,M,M,,821,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring Surge Foil)",rsltr,"Smeagol, Guia Solicito","Smeagol, Helpful Guide",1,NM,PTEN,R,M,,822,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring Surge Foil)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring Surge Foil)",rsltr,"Tom Bombadil","Tom Bombadil",1,NM,PTEN,M,M,,823,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Aragorn, Lider da Sociedade","Aragorn, Company Leader",1,NM,PTEN,R,M,,316,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Aragorn, o Unificador","Aragorn, the Uniter",1,NM,PTEN,M,M,,317,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Boromir, Guardiao da Torre","Boromir, Warden of the Tower",1,NM,PTEN,R,W,,302,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Elrond, Mestre da Cura","Elrond, Master of Healing",1,NM,PTEN,R,M,,318,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Elrond, Senhor de Valfenda","Elrond, Lord of Rivendell",1,NM,PTEN,U,U,,307,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Faramir, Comandante de Campo","Faramir, Field Commander",1,NM,PTEN,U,W,,303,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Faramir, Principe de Ithilien","Faramir, Prince of Ithilien",1,NM,PTEN,R,M,,319,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Frodo Bolseiro","Frodo Baggins",1,NM,PTEN,U,M,,320,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Frodo, Ruina de Sauron","Frodo, Sauron's Bane",1,NM,PTEN,R,W,,304,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Galadriel de Lothlorien","Galadriel of Lothlorien",1,NM,PTEN,R,M,,321,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Gandalf, Amigo do Condado","Gandalf, Friend of the Shire",1,NM,PTEN,U,U,,308,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Gandalf, o Branco","Gandalf the White",1,NM,PTEN,M,W,,305,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Gandalf, o Cinza","Gandalf the Grey",1,NM,PTEN,R,M,,322,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Gimli, Contador de Abates","Gimli, Counter of Kills",1,NM,PTEN,U,R,,312,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Gimli, Vingador Lamentoso","Gimli, Mournful Avenger",1,NM,PTEN,R,M,,323,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Gollum, Conspirador Paciente","Gollum, Patient Plotter",1,NM,PTEN,U,B,,309,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Legolas, Contador de Abates","Legolas, Counter of Kills",1,NM,PTEN,U,M,,324,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Legolas, Mestre Arqueiro","Legolas, Master Archer",1,NM,PTEN,R,G,,313,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Meriadoc Brandebuque","Meriadoc Brandybuck",1,NM,PTEN,U,G,,314,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Merry, Escudeiro de Rohan","Merry, Esquire of Rohan",1,NM,PTEN,R,M,,325,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Peregrin Tuk","Peregrin Took",1,NM,PTEN,U,G,,315,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Pippin, Guarda da Cidadela","Pippin, Guard of the Citadel",1,NM,PTEN,R,M,,326,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Rei-bruxo de Angmar","Witch-King of Angmar",1,NM,PTEN,M,B,,311,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Samwise Gamgi","Samwise Gamgee",1,NM,PTEN,R,M,,327,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Samwise, o Destemido","Samwise the Stouthearted",1,NM,PTEN,U,W,,306,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Saruman das Muitas Cores","Saruman of Many Colors",1,NM,PTEN,M,M,,328,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Sauron, o Necromante","Sauron, the Necromancer",1,NM,PTEN,R,B,,310,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Sauron, o Senhor Sombrio","Sauron, the Dark Lord",1,NM,PTEN,M,M,,329,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Smeagol, Guia Solicito","Smeagol, Helpful Guide",1,NM,PTEN,R,M,,330,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Ring)","Lord of the Rings: Tales of Middle-Earth (Showcase Ring)",srltr,"Tom Bombadil","Tom Bombadil",1,NM,PTEN,M,M,,331,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"A Batalha de Beiragua","The Battle of Bywater",1,NM,PTEN,R,W,,453,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"A Cancao do Banho","The Bath Song",1,NM,PTEN,U,U,,491,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Acoite do Balrog","Lash of the Balrog",1,NM,PTEN,C,B,,543,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Aguias do Norte","Eagles of the North",1,NM,PTEN,C,W,,458,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,Aliviamento,Reprieve,1,NM,PTEN,U,W,,477,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Alvorecer de Uma Nova Era","Dawn of a New Age",1,NM,PTEN,M,W,,456,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Amoque Uruk-hai","Uruk-hai Berserker",1,NM,PTEN,C,B,,563,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Anduril, Chama do Oeste","Anduril, Flame of the West",1,NM,PTEN,M,C,,687,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Apaziguamento de Smeagol","Soothing of Smeagol",1,NM,PTEN,C,U,,521,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Aragorn, Lider da Sociedade","Aragorn, Company Leader",1,NM,PTEN,R,M,,642,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Aragorn, o Unificador","Aragorn, the Uniter",1,NM,PTEN,M,M,,643,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Aranha da Floresta das Trevas","Mirkwood Spider",1,NM,PTEN,C,G,,629,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Arco Galadhrim","Galadhrim Bow",1,NM,PTEN,C,G,,618,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Artimanhas de Saruman","Saruman's Trickery",1,NM,PTEN,U,U,,519,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Arwen Undomiel","Arwen Undomiel",1,NM,PTEN,U,M,,645,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Arwen, Rainha Mortal","Arwen, Mortal Queen",1,NM,PTEN,M,M,,644,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Ascensao do Rei-bruxo","Rise of the Witch-King",1,NM,PTEN,U,M,,672,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Assombracao dos Pantanos Mortos","Haunt of the Dead Marshes",1,NM,PTEN,C,B,,541,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Atalaia de Lothlorien","Lothlorien Lookout",1,NM,PTEN,C,G,,626,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Atalho para os Cogumelos","Shortcut to Mushrooms",1,NM,PTEN,U,G,,638,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Aterrorizante como a Tempestade","Dreadful as the Storm",1,NM,PTEN,C,U,,499,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Bacia de Elixir de Ent","Ent-Draught Basin",1,NM,PTEN,U,C,,689,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Bandidagem Descarada","Spiteful Banditry",1,NM,PTEN,M,R,,600,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Banir de Edoras","Banish from Edoras",1,NM,PTEN,C,W,,452,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,,Barad-dur,1,NM,PTEN,R,L,,704,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Bilbo, Ladrao Aposentado","Bilbo, Retired Burglar",1,NM,PTEN,U,M,,647,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Bill Samambaia, Vigarista de Bree","Bill Ferny, Bree Swindler",1,NM,PTEN,U,U,,493,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Bill, o Ponei","Bill the Pony",1,NM,PTEN,U,W,,454,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Boromir, Guardiao da Torre","Boromir, Warden of the Tower",1,NM,PTEN,R,W,,455,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Bravura de Pippin","Pippin's Bravery",1,NM,PTEN,C,G,,633,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Caes de Guarda dos Cogumelos","Mushroom Watchdogs",1,NM,PTEN,C,G,,631,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Caminheiros de Ithilien","Rangers of Ithilien",1,NM,PTEN,R,U,,517,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Caminheiros Dunedain","Dunedain Rangers",1,NM,PTEN,U,G,,610,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Cancao de Bombadil","Bombadil's Song",1,NM,PTEN,C,G,,605,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Capita de Umbar","Captain of Umbar",1,NM,PTEN,C,U,,496,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Carrapicho, Estalajadeiro de Bree","Butterbur, Bree Innkeeper",1,NM,PTEN,U,M,,648,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Carregado pelo Vento","Borne Upon a Wind",1,NM,PTEN,R,U,,495,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Carregador de Bolsao","Bag End Porter",1,NM,PTEN,C,G,,604,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Cavaleiro da Marca Oriental","East-Mark Cavalier",1,NM,PTEN,C,W,,460,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Cavaleiros de Dol Amroth","Knights of Dol Amroth",1,NM,PTEN,C,U,,510,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Cavalos do Bruinen","Horses of the Bruinen",1,NM,PTEN,U,U,,506,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Ceifeira Tuk","Took Reaper",1,NM,PTEN,C,W,,486,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Celeborn, o Sabio","Celeborn the Wise",1,NM,PTEN,U,G,,607,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Cercados por Orcs","Surrounded by Orcs",1,NM,PTEN,C,U,,524,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Chama de Anor","Flame of Anor",1,NM,PTEN,R,M,,654,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Chamado da Ilha Perdida","Lost Isle Calling",1,NM,PTEN,R,U,,512,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Chamado do Anel","Call of the Ring",1,NM,PTEN,R,B,,530,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Charcote, Tirano do Condado","Sharkey, Tyrant of the Shire",1,NM,PTEN,R,M,,680,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Chuva de Flechas","Shower of Arrows",1,NM,PTEN,C,G,,639,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Colete de Mithril","Mithril Coat",1,NM,PTEN,R,C,,696,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Colocar o Anel","Slip On the Ring",1,NM,PTEN,C,W,,482,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Condestavel do Condado","Shire Shirriff",1,NM,PTEN,U,W,,481,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Convocacao das Sombras","Shadow Summoning",1,NM,PTEN,U,M,,677,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Coro Elfico","Elven Chorus",1,NM,PTEN,R,G,,611,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Crebain da Terra Parda","Dunland Crebain",1,NM,PTEN,C,B,,533,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Dadiva de Arwen","Arwen's Gift",1,NM,PTEN,C,U,,490,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Dadiva dos Fios","Gift of Strands",1,NM,PTEN,U,G,,621,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Deliberacao do Conselho","Council's Deliberation",1,NM,PTEN,U,U,,497,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Demonstracao de Poder","Display of Power",1,NM,PTEN,R,R,,570,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Denethor, Regente Governante","Denethor, Ruling Steward",1,NM,PTEN,U,M,,649,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Desmatar a Floresta Ent","Hew the Entwood",1,NM,PTEN,M,R,,587,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Destemidos de Osgiliath","Stalwarts of Osgiliath",1,NM,PTEN,C,W,,484,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Elfos do Encontro Fortuito","Chance-Met Elves",1,NM,PTEN,C,G,,608,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Elrond, Mestre da Cura","Elrond, Master of Healing",1,NM,PTEN,R,M,,651,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Elrond, Senhor de Valfenda","Elrond, Lord of Rivendell",1,NM,PTEN,U,U,,500,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Emboscada de Laracna","Shelob's Ambush",1,NM,PTEN,C,B,,559,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Enganar o Mensageiro","Deceive the Messenger",1,NM,PTEN,C,U,,498,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Ensopar os Coelhos","Stew the Coneys",1,NM,PTEN,U,G,,640,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Ent Generoso","Generous Ent",1,NM,PTEN,C,G,,620,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Envelope Herdado","Inherited Envelope",1,NM,PTEN,C,C,,693,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Enxame de Moria","Swarming of Moria",1,NM,PTEN,C,R,,601,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Eomer da Marca dos Cavaleiros","Eomer of the Riddermark",1,NM,PTEN,U,R,,572,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Eomer, Marechal de Rohan","Eomer, Marshal of Rohan",1,NM,PTEN,R,R,,571,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Eowyn, Cavaleira Destemida","Eowyn, Fearless Knight",1,NM,PTEN,R,M,,652,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Eowyn, Senhora de Rohan","Eowyn, Lady of Rohan",1,NM,PTEN,U,W,,461,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Erkenbrand, Senhor do Folde Ocidental","Erkenbrand, Lord of Westfold",1,NM,PTEN,U,R,,574,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Escudeiro do Rei","Esquire of the King",1,NM,PTEN,C,W,,464,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Esmagador Olog-hai","Olog-hai Crusher",1,NM,PTEN,C,R,,591,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Espantalho do Condado","Shire Scarecrow",1,NM,PTEN,C,C,,700,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Espelho de Galadriel","Mirror of Galadriel",1,NM,PTEN,U,C,,695,
"O Senhor dos Anéis: Contos da Terra Média (Showcase Scrolls)","Lord of the Rings: Tales of Middle-Earth (Showcase Scrolls)",ssltr,"Estafeta de Gondor","Errand-Rider of Gondor",1,NM,PTEN,C,W,,462,
